polarity_human,fetch_time,title,content
1,2012-02-09,【新股消息】克莉絲汀(01210-HK)：至今未有食品安全危機,"財華社香港新聞中心對於市場憂慮內地食品安全問題,克莉絲汀首席執行官朱秀萍表示,通過多項食品質量安全體系認證,並自創安心供應鏈,以保障產品安全.她指出,公司直至目前未出現過食品安全危機. 對於近來有傳長江水資源污染有否影響公司產品生產時,她回應指,所有產品生產用水均符合監管標準,公司自身亦有監控評估體系,定時進行抽樣檢查. 公司主席羅田安表示,公司來港上市是因看中香港作為國際金融中心,人才、資金、資訊方面較台灣及上海有優勢,有助公司未來發展更上一層樓.(I/B)更多精彩內容,請登陸財華中國網(http://www.caihuanet.com)或財華香港網(http://www.finet.hk)"
1,2012-02-09,"【新股消息】克莉絲汀(01210-HK)明招股，每手入場費4,484.76元","財華社香港新聞中心內地連鎖麵包烘焙餅店克莉絲汀明日起招股,是次計劃發行2.5億股,90%國際配售,10%公開發售.招股價介乎1.6至2.22元,集資額最多5.55億元；每手2,000股計,入場費4,484.76元.該股明日起(10日)至15日招股,預期23日掛牌；保薦人為法巴.該股以發售價中位數1.91元計,所得款項淨額為4.158億元,擬於未來3年用於：41%開設新的零售門店(包括自身擴張及收購),計劃於今明兩年開設約320間零售門店；39%為公司資本開支提供資金；10%用於新增及改善公司信息技術系統及研發新品；餘下為一般營運資金.公司預計截至2011年12月底止年度公司擁有人應佔溢利不少於9,500萬元人民幣,約合港幣1.165億元；(I/B)更多精彩內容,請登陸財華中國網(http://www.caihuanet.com)或財華香港網(http://www.finet.hk)"
-1,2012-02-09,美元兌瑞郎下跌,"根據《Fxstreet.hk》財經網顯示,瑞士SECO消費者信息指數下跌19,好於預期的下跌25和前期下跌24,盡管這仍不能反轉美元兌瑞郎下跌走勢.美元兌瑞郎亞洲早盤自0.9140區域下跌至0.9100水平,在0.9091觸底,因美元疲軟.撰稿時,美元兌瑞郎下跌0.33%至0.9103,初步阻力在0.9163(10日均線),然後是0.9179(2月6日低點),0.9263(2月6日高點)和0.9285(21日均線).下檔方面,美元兌瑞郎跌破0.9106(2月8日低點),將進一步考驗0.9080(0.8566-0.9595升幅的50％斐波拉契回撤位),然後是0.9067(11月30日低點)和0.8996(布林通道底部).													分享到：  		  		  		  		  				 寄給朋友													收件人電郵 *：						你的名字						你的電郵地址 *：						私人訊息：																					關閉			2168587ZH_TWhttp://www.quamnet.com/newscontent.action?articleId=2168587||request_locale=ZH_TWnewscontent.action美元兌瑞郎下跌根據《Fxstreet.hk》財經網顯示,瑞士SECO消費者信息指數下跌19,好…NEW_CMD"
1,2012-02-09,【地產新聞】恒生(00011-HK)中原合推九成按保上車預先批核,"財華社香港新聞中心恒生銀行和中原按揭經紀合推「上車易」九成按揭保險預先批核服務,客戶成功申請,可以一成首期上車.恒生Preferred 優進理財客戶可獲首年月費豁免優惠,成功申請並取用貸款的客戶,可額外獲得888元現金獎.申請期由現在起至4月底.中原按揭經紀董事總經理王美鳳表示,樓市已經牛皮偏軟一段時間,市場累積一定購買力,近日樓市氣氛向好,且正步入小陽春,銀行樓按業務普遍取態積極正面,今年雙春兼潤月,結婚數字上升,相信推動上車置業的需求,故此推出「上車易」計劃.(P/H)更多精彩內容,請登陸財華中國網(http://www.caihuanet.com)或財華香港網(http://www.finet.hk)"
-1,2012-02-09,《美國數據》1月就業指數回落至133點,美國人力資源企業Monster Worldwide公布，1月就業指數自去年12月的140點回落至133點，按年指數則升9%。報告指運輸及倉庫、零售及批發等就業增長強勁，公共業務就業增長則疲弱，製造業就業增長則放緩。(vi/d)
1,2012-02-09,"業界預期鋁價4月上漲,因工廠長假後復產提振需求","根據《路透》財經網顯示,行業消息人士及分析師周三表示,4月中國鋁價可能上漲,因上月農歷新年一周長假結束後工廠恢復生產,帶動需求攀升.新年假期後原鋁需求表現疲弱,因為由於出口訂單下降及用工荒,中國南部廣東省及部分東部沿海地區的許多鋁制品廠商沒有完全恢復生產.分析師稱,需求偏低,也是因為鋁加工廠消耗春節前建立的大量庫存.但分析師表示,預計內需及出口訂單將於第二季回升,進而推升價格.或許要到4月底價格才會強勁上漲,五礦期貨的分析師Liao Zhenyuan表示,當前消費疲弱.鋁市及鋁加工廠可能要花一兩個月的時間減少庫存.需求疲弱打壓中國鋁價.中國是全球最大的原鋁生產國及消費國.五礦期貨的Liao稱,在需求疲弱的同時,原鋁供應卻在增加,因現有冶煉廠假期期間保持著近乎正常的生產水平,且今年以來已約有150萬噸新增產能投產.據她估算,南海、無錫、杭州及上海主要四地倉庫的鋁庫存在假期期間增加約8萬噸,本周庫存達到40萬噸以上.上海期貨交易所1月20日至2月3日期間的鋁庫存增加近20%,至283,503噸.													分享到：  		  		  		  		  				 寄給朋友													收件人電郵 *：						你的名字						你的電郵地址 *：						私人訊息：																					關閉			2168602ZH_TWhttp://www.quamnet.com/newscontent.action?articleId=2168602||request_locale=ZH_TWnewscontent.action業界預期鋁價4月上漲,因工廠長假後復產提振需求根據《路透》財經網顯示,行業消息人士及分析師周三表示,4月中國鋁價可能上漲,因上…NEW_CMD"
1,2012-02-09,【窩輪數據】港股認股證總成交金額106.59 億元，佔大市11.83%,"財華社香港新聞中心.恆指現報21010.01點,跌 8.449 點,成交金額901.19 億元﹔認股證成交金額為106.59 億元,佔大市成交11.83%.認購證總成交額為83.87 億元,佔認股證成交的78.69%﹔認沽證總成交額為22.71 億元,佔認股證成交的21.31%.***以上信息與實際發放時間延遲十五分鐘,並供用戶參考."
1,2012-02-09,郭思治: 恆指初呈突破  形勢有利伺機上破250天線,耀才證券市務總監郭思治表示，A股昨天轉勇，在買盤主導下，上証指數急升上2357點，最後亦高收於2348點，較上日升56點。而經過昨天之急升，上証指數已初步升越一道中期下降軌(由去年4月18日高位3067點開始伸延過來)，只要上証能成功升越此下降軌並穩守其上，形態當有利再候機挑戰去年11月7日高位2536點。事實上，相對過去幾年之經濟增長作比較，A股明顯是屬偏低，加上溫總表示要為A股提振，相信往後該有相關措施或利好消息作配合。A股轉勇，刺激港股亦輕見突破，在買盤主導下，恆指昨輕微升越本週一(6日)之高位21015點，高見21023點，而最後亦報收於21018點，較上日升319點。從技術上看，由於大市雖稍呈反覆，惟卻一直穩守於10天線之上，即整個升勢仍處有餘未盡之中。現恆指既已初呈突破，形勢當有利伺機上破250天線，如成交金額配合，大市更可伺機回補去年8月5日所遺留下之大型下降裂口(介乎21725點至21017點)。目前整個升勢正處欲罷不能之中，如恆指不低於1日低位20269點，本月高位仍在後頭。
1,2012-02-09,鄺民彬: 料恆指回吐10天線有支持,"凱基證券亞洲營運總裁鄺民彬表示，市場觀望希臘債務問題進度，美股早段窄幅偏軟，其後傳出歐盟財長將於周四召開會議，市場預期希臘問題將有結論，美股倒升收市，道指收報12,884。 近日港股走勢強勁，但恆指能否克服250線的主要阻力，將視乎週四公佈國內消費物價指數，能否進一步有所回落，以及A股能否持續其升勢。 恆指週三以陽燭上升，收於21,000點心理關口之上，成交金額亦上升，動力進一步加強。不過，9天RSI升至78，呈現超買。恆指首個阻力為250天線(21,033)點，而下一阻力則見於21,500點。支持方面，恆指首個支持10天線(20,575點)，而下一支持則見於20,000點。"
1,2012-02-09,日本1月經季調後家庭消費者信心指數升至40.0,"根據《fx168》財經網顯示,日本內閣府周四(2月9日)公布的數據顯示,1月經季調後家庭消費者信心指數為40.0,高於上月的38.9.　　該指數低於50,暗示消費者情緒悲觀.　　此前接受媒體調查的經濟學家的預期中值顯示,1月經季調後家庭消費者信心指數料為38.5.　　內閣府上調對消費者信心的評估,稱消費者信心正顯露增強跡象,先前其表示消費者信心幾乎持平.　　有分析師指出,盡管1月消費者信心較上月改善,但歐債問題帶來的不確定性和金融市場憂慮,可能阻礙信心穩定回暖.													分享到：  		  		  		  		  				 寄給朋友													收件人電郵 *：						你的名字						你的電郵地址 *：						私人訊息：																					關閉			2168277ZH_TWhttp://www.quamnet.com/newscontent.action?articleId=2168277||request_locale=ZH_TWnewscontent.action日本1月經季調後家庭消費者信心指數升至40.0根據《fx168》財經網顯示,日本內閣府周四(2月9日)公布的數據顯示,1月經季…NEW_CMD"
1,2012-02-09,《大行報告》高盛料融創<01918.HK>銷售增長穩健  「買入」目標價升至2.85元,高盛表示，由於融創中國01918.HK2011年合同銷售較預期佳，雖然在下行周期，但預料融創今年銷售將較該行早前的預期更好，上調其2012-13年合同銷售20%/49%。預料2011-13年核心毛利率下跌，由2010年的23%跌至期內的15%-16%，較早前預測低1個百分點。2011-13年核心盈測上調1%/5%/7%，分別至0.63/0.74/0.79元人民幣，目標價調高34%，由2.12元上調至2.85元，較資產淨值折讓由70%收窄至60%。融創在該行覆蓋中估值最低，現價較資產淨值折讓66%，2012年預測市盈率2.7倍。評級維持「買入」。(me/d)
-1,2012-02-09,港股收低﹔大陸CPI數據拖累市場﹐但地產類股走強,"香港股市週四收盤略微走低﹐投資者在權衡中國大陸1月份消費者價格指數(CPI)升幅高於預期這一負面消息與針對大陸政府將支持房地產市場的樂觀情緒對市場的影響恆生指數下跌8.45點﹐至21,010.01點﹐跌幅0.04%﹔盤中在20,787.84-21,053.06點之間波動市場成交額為901.2億港元﹐高於週三的760.9億港元中國1月份CPI較上年同期上升4.5%﹐升幅不僅高於去年12月份的4.1%﹐也高於接受道瓊斯通訊社(Dow Jones Newswires)調查的經濟學家的預期中值4.1%﹐高於預期的通貨膨脹數據令市場感到擔憂新鴻基金融(SHK Financial)的策略師蘇沛豐(Daniel So)表示﹐香港股市前日上漲在一定程度上是因為市場預期中國1月份通貨膨脹數據較為溫和﹐有鑒於此﹐股市今日出現回調也很正常大華繼顯(UOB KayHian)的分析師張帆表示﹐該數據表明“通貨膨脹壓力並未完全消退”﹐因此政府將對近期內推出大規模寬鬆措施持謹慎態度﹐尤其是考慮到流動性狀況改善的情況下中國移動(China Mobile)跌1.1%﹐至78.00港元﹐對恆生指數的拖纍最大﹐貢獻了18.18點的跌幅但大陸房地產開發商類股延續漲勢﹐因中國央行週二要求銀行滿足首次購房家庭的貸款需求﹐這是中國政府首次公開要求為終端市場提供支持房地產類股週三引領香港股市收於六個月高點﹐恆生指數上漲了1.5%至21,018.46點中國海外發展(China Overseas Land)收盤上漲1.7%﹐至15.50港元﹐該股週三上漲5.3%華潤置地(China Resources Land)上漲5.7%﹐至14.76港元﹐該股週三上漲3.1%李寧(Li Ning)飆升14%﹐至9.80港元此前高盛(Goldman Sachs)將該股評級從中性上調至買入﹐將目標價從7.20港元上調至12.10港元高盛稱﹐在品牌和產品方面﹐李寧是中國運動服行業的領跑者﹐利潤率和回報率下降的風險也最小該行還稱﹐相信德太投資(TPG) 1月20日宣佈的私人股權投資將可能改善李寧的執行情況 中芯國際(SMIC)收盤持平於0.44港元該公司此前宣佈﹐第四財季出現淨虧損1.656億美元中芯國際第四季度收入較上季度減少5.6%﹐至2.896億美元國浩資本(GuocoCapital)稱﹐受折舊支出上升以及與爾必達(Elpida)達成和解產生的損失拖纍﹐該公司毛利潤率降至負7.4%﹐未達到預期"
1,2012-02-09,【專家之言】星展料港失業率回升至4.4%，經濟僅增長2%,"財華社香港新聞中心星展銀行(香港)經濟研究部高級經濟師梁兆基表示,香港今年失業率或反彈至4.4%,失業重災區是金融業及銀行業.他預計本港今年經濟增長2%,通脹料為3.5%. 對於本港樓市,他認為有機會跌10%-20%,但指中港經濟增長放緩并未顯現,零售市道仍佳,故料租金不會回落.(S/I)更多精彩內容,請登陸財華中國網(http://www.caihuanet.com)或財華香港網(http://www.finet.hk)"
1,2012-02-09,【配股集資】交行(03328-HK)擬配售H股集資500億人幣,"財華社香港新聞中心據路透社旗下IFR引述消息人士報道,交通銀行擬通過配售H股融資500億元(人民幣,下同),來達到嚴格的銀行資本規定. 交通銀行希望配售能夠於第一季度末完成.報導指出,匯控(0005-HK)、中國財政部和全國社保基金,這三個交行港股最大股東都將參與配股.(S)更多精彩內容,請登陸財華中國網(http://www.caihuanet.com)或財華香港網(http://www.finet.hk)"
-1,2012-02-09,香港恒生指數幾收平盤 ,"根據《路透》財經網顯示,香港股市週四以平盤結束當日的震盪行情,中資金融股走弱,此前中國的通脹數據高於預期,打壓了短期內調降存款準備金率的希望. 恒生指數.HSI收低0.04%,報21,010.01點.恒生國企指數.HSCE下跌0.31%,至11,669.15點.													分享到：  		  		  		  		  				 寄給朋友													收件人電郵 *：						你的名字						你的電郵地址 *：						私人訊息：																					關閉			2168642ZH_TWhttp://www.quamnet.com/newscontent.action?articleId=2168642||request_locale=ZH_TWnewscontent.action香港恒生指數幾收平盤 根據《路透》財經網顯示,香港股市週四以平盤結束當日的震盪行情,中資金融股走弱,此…NEW_CMD"
1,2012-02-09,英鎊兌美元上揚，等待英國央行決定,"根據《Fxstreet.hk》財經網顯示,英鎊正在恢復上揚走勢,因市場風險偏好情緒上揚.回想一下,1月中旬英鎊兌美元在1.5282水平交投,隨後大幅上揚至1.5928(昨日高點).數據方面,貿易平衡,工業和制造業生產將稍後公布.英國央行將舉行貨幣政策會議,以及有望進一步增加其資產購買計劃.市場預期現金利率將維持在0.5％不變.目前,英鎊兌美元上揚0.11%至1.5826.英鎊兌美元初步阻力在1.5871,然後是1.5929(2月8日高點),1.5934(200日均線)和1.6015(布林通道頂部).英鎊兌美元跌破1.5789(2月7日低點),將進一步考驗1.5730(2月6日低點),然後是1.5701(1月31日低點)和1.5674(100日均線).													分享到：  		  		  		  		  				 寄給朋友													收件人電郵 *：						你的名字						你的電郵地址 *：						私人訊息：																					關閉			2168658ZH_TWhttp://www.quamnet.com/newscontent.action?articleId=2168658||request_locale=ZH_TWnewscontent.action英鎊兌美元上揚,等待英國央行決定根據《Fxstreet.hk》財經網顯示,英鎊正在恢復上揚走勢,因市場風險偏好情…NEW_CMD"
1,2012-02-09,WVZ:截至1月31日德國甜菜糖產量為477.2萬噸,"據《廣發期貨》顯示,德國甜菜測試機構WVZ 2月8日稱,截至1月31日,德國甜菜糖產量總計為477.2萬噸.　　這高於德國2011/12年度甜菜糖產量預估的467.3萬噸,且大幅高於上一年度的344.3萬噸.　　德國的甜菜收割季節通常從9月開始,至12月結束.　　WVZ表示,截至1月31日,已加工甜菜2978.2萬噸,平均含糖量為18.05%,這與11月初做出的糖分預估值17.8%大致相同.													分享到：  		  		  		  		  				 寄給朋友													收件人電郵 *：						你的名字						你的電郵地址 *：						私人訊息：																					關閉			2168672ZH_TWhttp://www.quamnet.com/newscontent.action?articleId=2168672||request_locale=ZH_TWnewscontent.actionWVZ:截至1月31日德國甜菜糖產量為477.2萬噸據《廣發期貨》顯示,德國甜菜測試機構WVZ 2月8日稱,截至1月31日,德國甜菜…NEW_CMD"
-1,2012-02-09,葉海亞: 內地通脹回升屬季節性因素  長期趨勢放緩,內地通脹數據連跌兩個月後回升，致富證券中國部經理葉海亞表示，1月通脹回升主要受農曆年期間，食品價格上升等季節性因素影響，長期而言，料內地通脹仍會處於放緩趨勢。他又指港股跌幅較A股嚴重，主要由於昨日下午港股升幅過高，故對內地通脹回升的負面消息較敏感；加上通脹回升，巿場認為中央或減慢採取放寬政策的步伐。(vi/d)
-1,2012-02-09,希臘工會呼籲在周五和周六就反對EU/IMF緊縮措施舉行48小時罷工,"根據《fx168》財經網顯示,希臘工會呼籲在周五和周六就反對EU/IMF緊縮措施舉行48小時罷工.													分享到：  		  		  		  		  				 寄給朋友													收件人電郵 *：						你的名字						你的電郵地址 *：						私人訊息：																					關閉			2168863ZH_TWhttp://www.quamnet.com/newscontent.action?articleId=2168863||request_locale=ZH_TWnewscontent.action希臘工會呼籲在周五和周六就反對EU/IMF緊縮措施舉行48小時罷工根據《fx168》財經網顯示,希臘工會呼籲在周五和周六就反對EU/IMF緊縮措施…NEW_CMD"
1,2012-02-09,《江湖傳聞》嘉里<00683.HK>發行5億美元五年期債 收益率5.2%,外電引銷售文件指，嘉里00683.HK擬發行5億美元5年期債券，高於早前計劃3-4億美元發行規模。債券收益率5.197%，較同期美國公債高約437.5個基點，低於指導收益率。摩根士丹利、匯豐及瑞穗為聯席薄記行。(me/u)
1,2012-02-09,【市場動態】電管局：新指引並無禁止提供「無限」計劃,"財華社香港新聞中心電訊管理局總監利敏貞於記者會上表示, 公平使用政策指引下星期一生效.她強調新指引並沒有禁止營運商提供「無限」的用量計劃,但運營商提供含有「無限」一詞的計劃時,必須能確保提供真正的「無限」計劃.當被問及是否擔心營運商集體停止提供「無限」用量服務,變相聯合加價時,利敏貞表示暫時見不到這種現象,但電管局會密切關注.她表示本港的運營商肯定能拿出即符合新指引的規定,由滿足消費者需求的用量計劃.利敏貞指,電管局也將繼續推行消費者教育活動,如協助消費者估算數據用量等,她表示,截至2011年10月,每名流動寬頻用戶平均數據使用量為463MB.(S)更多精彩內容,請登陸財華中國網(http://www.caihuanet.com)或財華香港網(http://www.finet.hk)"
-1,2012-02-09,【專家之言】星展林哲文：股市短期或再探底,"財華社香港新聞中心星展銀行投資總監林哲文表示,目前中港股市估值非常吸引,且全球股市由年初以來均見反彈,反映現時大量資金在等待投資機會.他強調,若投資者未趕及上一波反彈也不用擔心,因料短時間內股市有機會再次探底,故仍有入市機會.林哲文表示,關注內房、消費、銀行和交通板塊；並指股票將是今年最具吸引力的資產,惟料首季仍將艱難,故該行將採取防守型策略,於首季減持股票、增持債券.(S/I)更多精彩內容,請登陸財華中國網(http://www.caihuanet.com)或財華香港網(http://www.finet.hk)"
1,2012-02-09,《歐洲市況》普遍靠穩  希臘和意大利續升近1%,市場等待歐元區財長稍後討論有關援助希臘結果。歐洲股市早段普遍靠穩，希臘和意大利續升近1%；盧森堡和挪威續升0.5%。德國DAX指數報6767，回升18點或0.3%；法國CAC指數報3414，回升4點；倫敦富時好淡爭持，報5874，跌3點。(sz/u)
1,2012-02-09,《新股消息》必瘦站<01830.HK>超購31倍  「人人有份」,必瘦站01830.HK公開發售接獲32.47倍認購，「人人有份」；配售錄得適度超購，股份預期明日(10)掛牌。發售價0.88元，集資淨額1.89億元。按回撥機制，股份已重新分配至公開發售佔總數30%，即7500萬股。該公司再招股規模削減50%，是次發售2.5億股，公開發售原佔10%。獨家保薦人兼全球協調人光大證券，聯席賬簿管理人及聯庸牽頭經辦人為光大證券及東英亞洲。(de/d)
-1,2012-02-09,金價回落1% (經濟)  ,"受到美元下滑以及投資者獲利回吐的影響,紐約期金下跌1%.金價回落,主要是投資者在金價昨日上升逾1%後開始獲利回吐.紐約期金每盎司收市報1731.3美元,下跌17.1美元,跌幅1%."
1,2012-02-09,大型房地產商計劃發美元債 緩解現金短缺,"內地最大的幾家房地產商正計劃發行美元債券,市場需求在經歷了六個月的枯水期後開始回升,這將緩解繼續威脅較小房地產商的現金緊缺狀況.《彭博》援引一位知情人士表示,在香港上市的內地房地產公司中國海外發展聘請多家銀行安排美元債券發行.美銀美林的資料顯示,大型房地產公司1月份的美元債券孳息率從15.1%跌至13.3%.全球房地產公司債券的孳息率為3.8%.一位知情人士透露,香港瑞安房地產昨天開始對其美元債券進行路演.彭博資料顯示,房地產商通過美元債券進行再融資之前,它們公佈的去年第三季度現金比率跌至2008年以來的低點.房價1月份連續第五個月下跌.國務院總理溫家寶表示,政府將繼續進行房地產調控.「大型國有企業發行美元債券不會碰到任何問題,」中信證券國際駐香港的執行董事孫劍鋒接受採訪時表示：「投資者可能會避開債信評級較低的中小型房地產商.」-華富財經Quamnet/Wendy-													分享到：  		  		  		  		  				 寄給朋友													收件人電郵 *：						你的名字						你的電郵地址 *：						私人訊息：																					關閉			2167641ZH_TWhttp://www.quamnet.com/newscontent.action?articleId=2167641||request_locale=ZH_TWnewscontent.action大型房地產商計劃發美元債 緩解現金短缺內地最大的幾家房地產商正計劃發行美元債券,市場需求在經歷了六個月的枯水期後開始回…NEW_HEAD"
1,2012-02-09,【窩輪數據】港股認股證總成交金額68.07 億元，佔大市15.02%,"財華社香港新聞中心.恆指現報20910.52點,跌 107.939 點,成交金額453.21 億元﹔認股證成交金額為68.07 億元,佔大市成交15.02%.認購證總成交額為53.67 億元,佔認股證成交的78.84%﹔認沽證總成交額為14.40 億元,佔認股證成交的21.16%.***以上信息與實際發放時間延遲十五分鐘,並供用戶參考."
-1,2012-02-09,【財華快訊】香港股市最新行情,"恆指最新報 20984.34點,跌 34.119  點,成交 686.54 億﹔即月期指高水 40 點,最新報 21024.0 點﹔紅籌指數最新報 4138.42點,漲 56.56  點﹔國企指數最新報 11671.69點,跌 34.17  點﹔Ｈ股指數期貨最新報 11695.0 點.最新五大升幅股份中,包括東南國際集團(0726-HK) 、鴻隆控股(1383-HK) 、SOLOMON SYSTECH(2878-HK) 、明華科技(8301-HK) 以及天年生物(1178-HK) ,升幅分別為 60.49%、39.43%、25.6%、24.29%及19.59%.主板最新五大成交額股份中,包括工商銀行(1398-HK)報 5.44 元、建設銀行(0939-HK)報 6.33 元、中國移動(0941-HK)報 77.95 元、中海油(0883-HK)報 17.48 元、香港交易所(0388-HK)報 144.7 元.主要藍籌股走勢：----------------------------------匯豐控股(0005-HK)報 69.45 元,跌 0.2 元中國移動(0941-HK)報 77.95 元,跌 0.95 元工商銀行(1398-HK)報 5.44 元,跌 0.07 元建設銀行(0939-HK)報 6.33 元,跌 0.06 元中國銀行(3988-HK)報 3.34 元,跌 0.03 元中國人壽(2628-HK)報 23.0 元,跌 0.15 元中國石油(0857-HK)報 11.8 元,跌 0.06 元中海油(0883-HK)報 17.48 元,漲 0.38 元和記黃埔(0013-HK)報 76.5 元,跌 0.45 元新鴻基地產(0016-HK)報 108.8 元,漲 0.1 元.***以上信息與實際發放時間延遲十五分鐘,並供用戶參考."
-1,2012-02-09,【財華快訊】香港股市最新行情,"恆指最新報 21016.16點,跌 2.299  點,成交 550.34 億﹔即月期指高水 4 點,最新報 21020.0 點﹔紅籌指數最新報 4145.84點,漲 63.98  點﹔國企指數最新報 11710.68點,漲 4.82  點﹔Ｈ股指數期貨最新報 11711.0 點.最新五大升幅股份中,包括東南國際集團(0726-HK) 、SOLOMON SYSTECH(2878-HK) 、鴻隆控股(1383-HK) 、明華科技(8301-HK) 以及時富金融服務集團(0510-HK) ,升幅分別為 64.61%、35.27%、28.0%、24.29%及21.82%.主板最新五大成交額股份中,包括工商銀行(1398-HK)報 5.46 元、建設銀行(0939-HK)報 6.34 元、中國移動(0941-HK)報 78.0 元、香港交易所(0388-HK)報 145.0 元、中海油(0883-HK)報 17.54 元.主要藍籌股走勢：----------------------------------匯豐控股(0005-HK)報 69.4 元,跌 0.25 元中國移動(0941-HK)報 78.0 元,跌 0.9 元工商銀行(1398-HK)報 5.46 元,跌 0.05 元建設銀行(0939-HK)報 6.34 元,跌 0.05 元中國銀行(3988-HK)報 3.36 元,跌 0.01 元中國人壽(2628-HK)報 23.05 元,跌 0.1 元中國石油(0857-HK)報 11.86 元,跌 0.0 元中海油(0883-HK)報 17.54 元,漲 0.44 元和記黃埔(0013-HK)報 76.8 元,跌 0.15 元新鴻基地產(0016-HK)報 108.8 元,漲 0.1 元.***以上信息與實際發放時間延遲十五分鐘,並供用戶參考."
-1,2012-02-09,歐美制裁導致伊朗食品進口受阻,"根據《路透》財經網顯示,國際交易商稱,伊朗遭遇大米、食用油和其他生活必需品采購困難,凸顯新一輪制裁引發的嚴重後果.商品交易商稱,美國年初對伊朗實施的新一輪金融制裁,對伊朗進口采購和石油出口收支造成巨大影響.伊朗否認制裁對本國經濟造成嚴重影響,但是路透近期對全球商品交易商的調查顯示,伊朗進口面臨嚴重中斷.伊朗社會已經感受到實質性影響,日常食品價格大幅上漲.丹麥馬士基集團周三稱,因為歐盟對伊朗實施制裁,該公司已經暫停新的與伊朗石油相關的貨物運輸.亞洲交易商周二對路透表示,馬來西亞棕櫚油出口商因無法得到貨款,已經停止向伊朗銷售.周一有消息稱,伊朗已經無法向印度支付大米貨款.上周另有報導稱,烏克蘭對伊朗的玉米出口已幾乎減半.													分享到：  		  		  		  		  				 寄給朋友													收件人電郵 *：						你的名字						你的電郵地址 *：						私人訊息：																					關閉			2168188ZH_TWhttp://www.quamnet.com/newscontent.action?articleId=2168188||request_locale=ZH_TWnewscontent.action歐美制裁導致伊朗食品進口受阻根據《路透》財經網顯示,國際交易商稱,伊朗遭遇大米、食用油和其他生活必需品采購困…NEW_CMD"
1,2012-02-09,華爾街股市反覆靠穩 (經濟)  ,"由於投資者仍在期待一直拖延的希臘債務談判可以達成協定,紐約股市三大指數小幅上升.華爾街股市反覆靠穩,市場觀望希臘是否簽訂第二輪貸款協議,入市態度審慎,道指全日高低波幅只有約75點.市場觀望希臘政府與主要政黨就接受貸款條件的談判,入市態度審慎,道指早段最多跌過60點,落至12817點.但其後歐羅集團主席容克宣布,歐羅區財長會議於周四召開,刺激買盤入市,道指倒頭回升.道瓊斯工業平均指數收市報12883.95點,升5.75點,升幅0.04%.標準普爾500指數收市報1349.96點,升2.91點,升幅0.22%.納斯達克指數收市報2615.78點,升11.78點,升幅0.41%.金融股個別發展,上日表現最差的美國銀行,股價反彈百分之三點五,成為升幅最大道指成份股.摩根大通亦回升超過百分之一.但信用卡公司美國運通逆市跌近百分之一,是表現最差的道指成份股.工業股有支持,聯合科技升百分之一點八,飛機製造商波音亦近百分之一.科技股升勢持續,連日創新高的蘋果公司再升百分之一點六,惠普近升百分之一點七.消費股及資源股普遍回軟,麥當勞跌百分之零點八,石油股埃克森美孚及雪佛龍都偏軟微跌."
1,2012-02-09,《盈利預喜》中海宏洋<00081.HK>料去年純利大增,中國海外宏洋集團00081.HK發盈喜，預計2011年度純利按年將大幅增長，主要歸因年內營業額與毛利大幅上升，加上完成收購中海宏洋地產餘下30%權益後，分配予非控股權益之收益減少。年度業績預期本月28日公布。(de/d)
1,2012-02-09,《大行報告》高盛：內地運動品牌首推李寧  「沽」安踏/361度,高盛表示，內地運動服裝品牌發展將會接近國際同業的表現，未來將加大推廣開支，致營運毛利下降，研發開支亦會加大，可見的短期盈利能力亦低。該行升級李寧02331.HK自「中性」至「買入」，並納入「亞太區確信買入」名單，目標價自7.2元調升至12.1元，指李寧於行業領先，利潤率及回報下降危機較低，於目前存貨周期中亦將較快復原。安踏02020.HK納入「亞太區確信沽售」名單，評級維持「沽售」，認為其存貨過多並未於估值反映，加上贊助活動亦致毛利下降，目標價自5.3元下調至4.4元。該行將361度01361.HK評級自「中性」降至「沽售」，並納入亞太區沽售名單，指盈利有下降危機，高於同業的利潤率亦未必能維持，目標價自3.5元下調至2.1元。(vi/d)
1,2012-02-09,陳宏坤: 金價走勢尚未明朗,大唐金融集團陳宏坤表示，希臘需要透過裁減公務員、下調養老金以及最低工資，換取第二輪援助貸款。另外，由於私人減記部份涉及歐洲央行，令問題變得複雜；加上希臘總理與政黨聯盟領導人會面後，緊縮協議遭到退回，因此歐元區財長決定稍後在布魯塞爾召開緊急會議。目前歐元兌美元仍然處於1.32樓上，顯示市場傾向相信希臘於3月20日限期前可以獲得救助。伯南克指出，儘管1月份失業率回落至8.3％，但未能反映真正的就業情況，經濟增長只能有限度增加就業，亦無助解決政府存在的赤字問題，相信經濟仍然疲弱；但只要短期內通漲維持在低水平而失業率同時偏高，則寬鬆政策仍然適用。美元最近偏軟，對金價有一定支持。相信金價於1700美元水平附近有一定支持，1780有阻力。
